query,engine,rank,sku,score,Description,is_gold
coat rack,es,1,22467,13.444841,GUMBALL COAT RACK,1
coat rack,es,2,22788,13.444841,BROCANTE COAT RACK,1
coat rack,es,3,23411,13.444841, TRELLIS COAT RACK,1
coat rack,es,4,22719,12.155335,GUMBALL MONOCHROME COAT RACK,1
coat rack,es,5,22913,11.091536,RED COAT RACK PARIS FASHION,1
coat rack,es,6,22912,11.091536,YELLOW COAT RACK PARIS FASHION,1
coat rack,es,7,22914,11.091536,BLUE COAT RACK PARIS FASHION,1
coat rack,es,8,22781,6.3758583,GUMBALL MAGAZINE RACK,0
coat rack,es,9,84406B,5.8316703,CREAM CUPID HEARTS COAT HANGER,1
coat rack,es,10,85064,5.764344,CREAM SWEETHEART LETTER RACK,0
chalkboard,whoosh,1,22769,8.422655287426867,CHALKBOARD KITCHEN ORGANISER,1
chalkboard,whoosh,2,22457,7.578383028124348,NATURAL SLATE HEART CHALKBOARD ,1
chalkboard,whoosh,3,22488,7.578383028124348,NATURAL SLATE RECTANGLE CHALKBOARD,1
chalkboard,whoosh,4,22456,7.578383028124348,NATURAL SLATE CHALKBOARD LARGE ,1
chalkboard,whoosh,5,22596,6.8879472252381415,CHRISTMAS STAR WISH LIST CHALKBOARD,1
chalkboard,es,1,22769,7.571218,CHALKBOARD KITCHEN ORGANISER,1
chalkboard,es,2,22457,6.845056,NATURAL SLATE HEART CHALKBOARD ,1
chalkboard,es,3,22488,6.845056,NATURAL SLATE RECTANGLE CHALKBOARD,1
chalkboard,es,4,22456,6.845056,NATURAL SLATE CHALKBOARD LARGE ,1
chalkboard,es,5,22596,6.2459965,CHRISTMAS STAR WISH LIST CHALKBOARD,1
wall clock,whoosh,1,22193,10.435498977767713,RED DINER WALL CLOCK,1
wall clock,whoosh,2,22192,10.435498977767713,BLUE DINER WALL CLOCK,1
wall clock,whoosh,3,22191,10.435498977767713,IVORY DINER WALL CLOCK,1
wall clock,whoosh,4,22194,10.435498977767713,BLACK DINER WALL CLOCK,1
wall clock,whoosh,5,84660C,10.435498977767713,PINK STITCHED WALL CLOCK,1
wall clock,whoosh,6,84660c,10.435498977767713,PINK STITCHED WALL CLOCK,1
wall clock,whoosh,7,84660b,10.435498977767713,BLACK STITCHED WALL CLOCK,1
wall clock,whoosh,8,84660B,10.435498977767713,BLACK STITCHED WALL CLOCK,1
wall clock,whoosh,9,84660A,10.435498977767713,WHITE STITCHED WALL CLOCK,1
wall clock,whoosh,10,85163A,10.435498977767713,WHITE BAROQUE WALL CLOCK ,1
wall clock,es,1,22193,8.66845,RED DINER WALL CLOCK,1
wall clock,es,2,22192,8.66845,BLUE DINER WALL CLOCK,1
wall clock,es,3,22191,8.66845,IVORY DINER WALL CLOCK,1
wall clock,es,4,22194,8.66845,BLACK DINER WALL CLOCK,1
wall clock,es,5,84660C,8.66845,PINK STITCHED WALL CLOCK,1
wall clock,es,6,84660c,8.66845,PINK STITCHED WALL CLOCK,1
wall clock,es,7,84660b,8.66845,BLACK STITCHED WALL CLOCK,1
wall clock,es,8,84660B,8.66845,BLACK STITCHED WALL CLOCK,1
wall clock,es,9,84660A,8.66845,WHITE STITCHED WALL CLOCK,1
wall clock,es,10,85163A,8.66845,WHITE BAROQUE WALL CLOCK ,1
red pen,whoosh,1,22419,11.430514850690521,LIPSTICK PEN RED,1
red pen,es,1,22419,9.426482,LIPSTICK PEN RED,1
red pen,es,2,22740,6.710203,POLKADOT PEN,0
red pen,es,3,22422,5.998347,TOOTHPASTE TUBE PEN,0
red pen,es,4,22741,5.998347,FUNKY DIVA PEN,0
red pen,es,5,22421,5.998347,LIPSTICK PEN FUSCHIA,0
red pen,es,6,22418,5.4230404,10 COLOUR SPACEBOY PEN,1
red pen,es,7,51014C,5.4230404,"FEATHER PEN,COAL BLACK",0
red pen,es,8,51014L,5.4230404,"FEATHER PEN,LIGHT PINK",0
red pen,es,9,51014A,5.4230404,"FEATHER PEN,HOT PINK",0
red pen,es,10,22420,5.4230404,LIPSTICK PEN BABY PINK,0
